runner_id,model_name,dataset_name,regularization,regularization_param,train_loss,test_loss,train_accuracy,test_accuracy,timestamp,epochs,lr,device,batch_size,seed,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb,quantization_method,pretrained,verbose,epoch_train_losses,epoch_test_losses,criterion_name,optimizer_name,num_epochs
itaishapira,lenet,FashionMNIST,l_infinty,0.1,0.32769465861320496,0.36551687870025634,87.94833333333334,86.68,2023-11-07_08-50-21,10.0,0.001,cpu,256,42,128576,9103.7330057621,68.13014107942581,0.5198007225990295,-0.7978033423423767,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,l_infinty,0.01,0.3118209580739339,0.34885885486602786,88.71333333333334,87.14,2023-11-07_08-52-45,10.0,0.001,cpu,256,42,128576,8439.741483926773,61.18279707431793,0.6159436106681824,-1.244356632232666,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,l_infinty,0.001,0.33691884060700733,0.37181923747062684,87.72333333333333,86.46,2023-11-07_08-55-10,10.0,0.001,cpu,256,42,128576,9482.800611674786,73.10186955332756,0.38368019461631775,-1.1845718622207642,0.490478515625,,,,,,,,
itaishapira,resnet18,CIFAR-10,none,,0.2746876909065247,1.0932937984466553,90.968,69.09,2023-11-07_14-41-06,10.0,0.001,cpu,256,42,11679912,275801.27115631104,511.77329409122467,0.5280808806419373,-1.2220393419265747,44.555328369140625,,,,,,,,
itaishapira,resnet18,CIFAR-10,batch_norm,,0.13828163357019424,0.9983771855354309,95.16,73.64,2023-11-07_16-57-08,10.0,0.001,cpu,256,42,11699112,307038.83879101276,3093.4780052900314,67.10294342041016,-7.8662495613098145,44.628570556640625,,,,,,,,
ishapira,resnet18,CIFAR-10,dropout,0.3,0.15181026590824126,1.3217635751724244,95.246,69.69,2023-11-18_13-51-08,20.0,0.001,cuda:0,256,42,11172042,312961.3863799572,586.4602897763252,0.6055442690849304,-0.582756757736206,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,dropout,0.3,0.15181026590824126,1.3217635751724244,95.246,69.69,2023-11-18_13-51-10,20.0,0.001,cuda:0,256,42,11172042,312961.3863799572,586.4602897763252,0.6055442690849304,-0.582756757736206,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,dropout,0.5,0.24736562006950377,1.0432341145515442,93.258,69.31,2023-11-18_13-56-42,20.0,0.001,cuda:0,256,42,11172042,294911.91733050346,556.0683038830757,0.5974403619766235,-0.6121756434440613,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,dropout,0.5,0.24736562006950377,1.0432341145515442,93.258,69.31,2023-11-18_13-56-45,20.0,0.001,cuda:0,256,42,11172042,294911.91733050346,556.0683038830757,0.5974403619766235,-0.6121756434440613,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,dropout,0.7,0.6104378954315186,1.00319977350235,87.522,69.15,2023-11-18_14-02-14,20.0,0.001,cuda:0,256,42,11172042,293958.812779665,543.5685831904411,0.5941002368927002,-0.5247220396995544,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,dropout,0.7,0.6104378954315186,1.00319977350235,87.522,69.15,2023-11-18_14-02-19,20.0,0.001,cuda:0,256,42,11172042,293958.812779665,543.5685831904411,0.5941002368927002,-0.5247220396995544,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l1,0.0001,0.6100809313583374,0.851880104637146,78.748,70.91,2023-11-18_14-24-31,20.0,0.001,cuda:0,256,42,11172042,5300.397529602051,69.85376810282469,0.6455270051956177,-0.5246355533599854,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l1,0.0001,0.6100809313583374,0.851880104637146,78.748,70.91,2023-11-18_14-24-55,20.0,0.001,cuda:0,256,42,11172042,5300.397529602051,69.85376810282469,0.6455270051956177,-0.5246355533599854,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l1,0.0005,1.2190252155303956,1.2457622381210327,55.948,55.46,2023-11-18_14-30-05,20.0,0.001,cuda:0,256,42,11172042,1875.5787043571472,31.766262352466583,0.8575285077095032,-0.6736304759979248,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l1,0.0005,1.2190252155303956,1.2457622381210327,55.948,55.46,2023-11-18_14-30-35,20.0,0.001,cuda:0,256,42,11172042,1875.5787043571472,31.766262352466583,0.8575285077095032,-0.6736304759979248,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l1,0.001,1.659149326019287,1.6540364700317383,37.628,38.41,2023-11-18_14-18-57,20.0,0.001,cuda:0,256,42,11172042,1513.6498475074768,21.032735772430897,1.363661289215088,-1.3659327030181885,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l1,0.001,1.659149326019287,1.6540364700317383,37.628,38.41,2023-11-18_14-19-17,20.0,0.001,cuda:0,256,42,11172042,1513.6498475074768,21.032735772430897,1.363661289215088,-1.3659327030181885,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l1,0.01,2.3025853191375734,2.3025853408813477,10.0,10.0,2023-11-18_14-13-23,20.0,0.001,cuda:0,256,42,11172042,1385.9694941290654,1.852066410239786,0.0010588668519631028,-0.001733452663756907,42.617958068847656,,False,,,,,,
